latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-33.84204,150.44447,350.6,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,301.6,26,D
-33.83929,150.43959,332.3,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,297.1,35.3,D
-33.83715,150.43051,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,305.2,14.5,D
-33.84511,150.37488,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,300.4,104.1,D
-33.84572,150.37064,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,304.5,88,D
-33.83654,150.43469,334.6,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,298.8,4.1,D
-33.83775,150.42628,348.5,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,305.3,14.5,D
-33.84202,150.39658,336.8,0.39,0.36,2020-01-05,0342,N,nominal,1.0NRT,303.1,128.1,D
-33.83929,150.3914,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,343.6,128.1,D
-33.83991,150.38707,367,0.39,0.36,2020-01-05,0342,N,high,1.0NRT,327.5,183.2,D
